"Restaurant_Id","Restaurant_Name","Cusines","Rating","Price_for_One","Location","Delivery_review_number","Delivery Time","Link"
"505","BRAINFREEZE SHAKES","Desserts","3.9","100","Koramangala","500","39","https://www.swiggy.com/restaurants/brainfreeze-shakes-5th-block-Koramangala-bangalore-564028"
"506","BOMBAY SANDWICH CO","American","3.2","100","Koramangala","15000","41","https://www.swiggy.com/restaurants/bombay-sandwich-co-5th-block-Koramangala-bangalore-564026"
"507","The Pizza Joint","Continental","3.8","150","Koramangala","5000","34","https://www.swiggy.com/restaurants/the-pizza-joint-80-feet-main-road-Koramangala-bangalore-670634"
"508","BREAD AND KNIVES","American","3.2","100","Koramangala","1000","46","https://www.swiggy.com/restaurants/bread-and-knives-5th-block-Koramangala-bangalore-564031"
"509","Wing Stop","American","3.4","100","Koramangala","10000","43","https://www.swiggy.com/restaurants/wing-stop-5th-block-Koramangala-bangalore-564033"
"510","Indian Masala House	","North Indian","3.2","150","Koramangala","15000","35","https://www.swiggy.com/restaurants/indian-masala-house-80-feet-main-road-Koramangala-bangalore-670688"
"511","Biryani Hub","North Indian","3.3","200","Rt Nagar","500","31","https://www.swiggy.com/restaurants/biryani-hub-benson-town-rt-nagar-bangalore-611631"
"512","Popcorn Me","American","3.1","100","Btm Layout","5000","50","https://www.swiggy.com/restaurants/popcorn-me-keb-colony-btm-layout-bangalore-635211"
"513","signature cafe","Continental","4.0","75","Basaveshwara Nagar","10000","38","https://www.swiggy.com/restaurants/signature-cafe-shivanagar-basaveshwar-nagar-bangalore-620320"
"514","Rich Sandwich","American","3.9","150","Btm Layout","500","47","https://www.swiggy.com/restaurants/rich-sandwich-2nd-stage-btm-layout-bangalore-407962"
"515","Munchous Cafe","American","3.8","150","Btm Layout","15000","29","https://www.swiggy.com/restaurants/munchous-cafe-1st-stage-btm-layout-bangalore-417929"
"516","Panda Momos","Asian","3.8","100","Dollars Colony","1000","33","https://www.swiggy.com/restaurants/panda-momos-dollars-colony-new-bel-road-bangalore-520806"
